gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
WDSUB1	"WD repeat, sterile alpha motif and U-box domain containing 1"	1467	3	0	0	2	0	0	0	2	2	2	3.76E-01	1	5.35E-01	7.44E-01	1				
SREBF1	sterol regulatory element binding transcription factor 1	3741	2	0	1	2	0	0	0	2	2	2	8.97E-01	1	3.86E-01	7.44E-01	1				
WDFY2	WD repeat and FYVE domain containing 2	1247	2	0	0	1	0	0	0	1	1	1	7.44E-01	NaN	NaN	7.44E-01	1				
FYN	"FYN oncogene related to SRC, FGR, YES"	1814	29	0	0	2	0	0	0	2	2	2	3.76E-01	1	5.93E-01	7.44E-01	1				
PDPN	podoplanin	791	19	0	1	3	0	0	0	3	2	3	3.76E-01	1	1.75E-01	7.44E-01	1				
SIL1	"SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)"	1446	302	0	1	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
AIRE	autoimmune regulator	1950	8	0	1	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
RPSA	ribosomal protein SA	923	6	0	2	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
ZBTB11	zinc finger and BTB domain containing 11	3302	0	0	0	2	0	0	0	2	2	2	3.77E-01	1	4.68E-01	7.45E-01	1				
COL25A1	"collagen, type XXV, alpha 1"	2380	0	0	4	2	0	2	0	4	3	4	9.43E-01	1	2.79E-01	7.45E-01	1				
PRMT8	protein arginine methyltransferase 8	1271	125	0	0	2	0	0	0	2	2	2	3.77E-01	1	4.44E-01	7.45E-01	1				
FRZB	frizzled-related protein	998	35	0	0	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
MAFA	v-maf musculoaponeurotic fibrosarcoma oncogene homolog A (avian)	1062	40	0	0	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
OTUD5	OTU domain containing 5	1748	300	0	0	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
ISYNA1	inositol-3-phosphate synthase 1	1713	17	0	2	1	0	0	0	1	1	1	7.45E-01	NaN	NaN	7.45E-01	1				
NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	1980	13	0	2	3	0	1	0	4	4	4	8.70E-01	1	2.41E-01	7.45E-01	1				
WNT4	"wingless-type MMTV integration site family, member 4"	1072	75	0	0	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
SLC26A3	"solute carrier family 26, member 3"	2371	13	0	1	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
PRAMEF1	PRAME family member 1	1566	37	0	1	2	0	0	0	2	2	2	3.78E-01	1	6.44E-01	7.46E-01	1				
OR7G1	"olfactory receptor, family 7, subfamily G, member 1"	1024	55	0	1	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
MTAP	methylthioadenosine phosphorylase	1160	9	0	1	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
SOWAHB	sosondowah ankyrin repeat domain family member B	2382	72	0	1	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
SLC22A24	"solute carrier family 22, member 24"	981	52	0	0	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
FMNL2	formin-like 2	3473	1	0	0	0	0	0	1	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
SBNO2	strawberry notch homolog 2 (Drosophila)	4331	6	0	2	3	0	0	0	3	3	3	8.41E-01	1	2.36E-01	7.46E-01	1				
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	950	225	0	0	1	0	0	0	1	1	1	7.46E-01	NaN	NaN	7.46E-01	1				
TAS2R19	"taste receptor, type 2, member 19"	900	18	0	0	2	0	0	0	2	2	2	3.79E-01	1	8.56E-01	7.46E-01	1				
OR51A4	"olfactory receptor, family 51, subfamily A, member 4"	942	24	0	1	4	0	0	0	4	4	4	6.27E-01	1	5.31E-01	7.46E-01	1				
KLHL5	kelch-like 5 (Drosophila)	2473	25	0	0	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
OLIG2	oligodendrocyte lineage transcription factor 2	972	239	0	0	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
ANGPTL3	angiopoietin-like 3	1407	46	0	0	2	0	0	0	2	2	2	3.79E-01	1	6.06E-01	7.47E-01	1				
STAT4	signal transducer and activator of transcription 4	2420	20	0	1	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
MARK1	MAP/microtubule affinity-regulating kinase 1	2456	8	0	0	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
ZNF654	zinc finger protein 654	1750	19	0	0	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
OR1C1	"olfactory receptor, family 1, subfamily C, member 1"	945	45	0	2	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
CALHM1	calcium homeostasis modulator 1	1045	4	0	0	2	0	0	0	2	2	2	3.79E-01	1	6.17E-01	7.47E-01	1				
C6orf222	chromosome 6 open reading frame 222	1999	12	0	1	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
OR2M7	"olfactory receptor, family 2, subfamily M, member 7"	939	37	0	0	2	0	0	0	2	2	2	8.02E-01	1	4.25E-01	7.47E-01	1				
ZACN	zinc activated ligand-gated ion channel	1432	122	0	1	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
SCN10A	"sodium channel, voltage-gated, type X, alpha subunit"	5975	32	0	4	6	0	0	0	6	6	6	7.04E-01	1	4.54E-01	7.47E-01	1				
CDC25A	cell division cycle 25 homolog A (S. pombe)	1631	13	0	1	2	0	0	0	2	2	2	3.79E-01	1	8.92E-01	7.47E-01	1				
GDF2	growth differentiation factor 2	1294	2	0	0	1	0	0	0	1	1	1	7.47E-01	NaN	NaN	7.47E-01	1				
F13A1	"coagulation factor XIII, A1 polypeptide"	2251	16	0	1	4	0	0	0	4	4	4	3.80E-01	1	6.00E-01	7.48E-01	1				
FUBP3	far upstream element (FUSE) binding protein 3	1791	24	0	2	1	0	1	0	2	2	2	3.80E-01	1	7.27E-01	7.48E-01	1				
GNPAT	glyceronephosphate O-acyltransferase	2103	1	0	1	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
LPA	"lipoprotein, Lp(a)"	6275	6	0	7	9	0	0	0	9	8	9	9.90E-01	1	3.39E-01	7.48E-01	1				
CFHR2	complement factor H-related 2	889	132	0	1	1	0	1	0	2	2	2	6.40E-01	1	4.58E-01	7.48E-01	1				
SLC25A32	"solute carrier family 25, member 32"	972	46	0	1	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
STAU1	"staufen, RNA binding protein, homolog 1 (Drosophila)"	1796	13	0	2	0	0	0	1	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
UNC13D	unc-13 homolog D (C. elegans)	3588	15	0	2	1	1	1	1	4	4	4	6.60E-01	1	4.95E-01	7.48E-01	1				
BRS3	bombesin-like receptor 3	1208	8	0	1	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
FGF22	fibroblast growth factor 22	622	23	0	0	2	0	0	0	2	2	2	3.80E-01	1	8.95E-01	7.48E-01	1				
TSC22D2	"TSC22 domain family, member 2"	2355	3	0	1	3	0	0	0	3	3	3	3.80E-01	1	8.59E-01	7.48E-01	1				
DOK3	docking protein 3	1861	122	0	1	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	1417	366	0	0	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
SRD5A1	"steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)"	1090	138	0	0	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
SLC2A3	"solute carrier family 2 (facilitated glucose transporter), member 3"	1527	22	0	0	2	0	0	0	2	2	2	3.81E-01	1	9.50E-01	7.48E-01	1				
LHFPL3	lipoma HMGIC fusion partner-like 3	782	397	0	0	1	0	0	0	1	1	1	7.48E-01	NaN	NaN	7.48E-01	1				
MAP3K13	mitogen-activated protein kinase kinase kinase 13	3121	101	0	1	2	1	0	0	3	3	3	3.81E-01	1	5.11E-01	7.48E-01	1				
FZD8	frizzled homolog 8 (Drosophila)	2085	7	0	2	3	0	0	0	3	3	3	9.04E-01	1	2.85E-01	7.48E-01	1				
ZC3H3	zinc finger CCCH-type containing 3	2891	69	0	2	2	1	0	0	3	3	3	3.81E-01	1	6.74E-01	7.48E-01	1				
NTN1	netrin 1	1835	55	0	0	1	1	0	0	2	2	2	7.15E-01	1	3.54E-01	7.48E-01	1				
C16orf89	chromosome 16 open reading frame 89	1584	70	0	1	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
FGF9	fibroblast growth factor 9 (glia-activating factor)	635	2	0	1	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
PCDHGB7	"protocadherin gamma subfamily B, 7"	2802	37	0	1	3	1	0	0	4	4	4	3.81E-01	1	8.53E-01	7.49E-01	1				
PTX4	"pentraxin 4, long"	1573	60	0	1	2	0	0	0	2	2	2	6.88E-01	1	4.44E-01	7.49E-01	1				
CHRNA2	"cholinergic receptor, nicotinic, alpha 2 (neuronal)"	1610	24	0	0	2	0	0	0	2	2	2	3.81E-01	1	9.54E-01	7.49E-01	1				
ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	2924	13	0	0	2	0	2	0	4	4	4	3.81E-01	1	4.78E-01	7.49E-01	1				
TLK2	tousled-like kinase 2	2405	7	0	1	2	0	0	0	2	2	2	5.85E-01	1	1.75E-01	7.49E-01	1				
NTN3	netrin 3	1763	54	0	1	2	0	0	0	2	2	2	6.75E-01	1	3.07E-01	7.49E-01	1				
CEP85L	centrosomal protein 85kDa-like	2602	18	0	0	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	3230	8	0	0	2	0	1	0	3	2	3	8.00E-01	1	3.31E-01	7.49E-01	1				
FAM69B	"family with sequence similarity 69, member B"	1312	46	0	0	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
PLXNA2	plexin A2	5805	46	0	4	6	0	0	1	7	7	7	3.82E-01	1	5.42E-01	7.49E-01	1				
CD81	CD81 molecule	1122	0	0	1	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
DGCR2	DiGeorge syndrome critical region gene 2	1885	17	0	1	2	0	0	0	2	2	2	3.82E-01	1	7.92E-01	7.49E-01	1				
CKMT2	"creatine kinase, mitochondrial 2 (sarcomeric)"	1292	101	0	1	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
OXSM	"3-oxoacyl-ACP synthase, mitochondrial"	1384	12	0	1	1	0	0	0	1	1	1	7.49E-01	NaN	NaN	7.49E-01	1				
OR4P4	"olfactory receptor, family 4, subfamily P, member 4"	939	48	0	1	3	0	0	0	3	3	3	7.57E-01	1	4.30E-01	7.50E-01	1				
SPATA31E1		4350	1	0	6	8	1	0	0	9	9	9	8.61E-01	1	3.61E-01	7.50E-01	1				
BACH1	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	2223	13	0	0	1	0	0	1	2	2	2	3.82E-01	1	8.13E-01	7.50E-01	1				
MBTPS2	"membrane-bound transcription factor peptidase, site 2"	1621	49	0	0	1	0	0	0	1	1	1	7.50E-01	NaN	NaN	7.50E-01	1				
PLXDC2	plexin domain containing 2	1642	10	0	1	7	1	0	0	8	6	8	3.82E-01	1	7.76E-01	7.50E-01	1				
PCID2	PCI domain containing 2	1414	11	0	1	1	1	0	0	2	1	2	7.50E-01	NaN	NaN	7.50E-01	1				
PPP2R5D	"protein phosphatase 2, regulatory subunit B', delta isoform"	1869	3	0	0	2	0	0	0	2	2	2	3.83E-01	1	1.20E-01	7.50E-01	1				
ZNF189	zinc finger protein 189	1889	29	0	0	2	0	0	0	2	2	2	6.03E-01	1	5.63E-01	7.50E-01	1				
GPBP1	GC-rich promoter binding protein 1	1572	11	0	0	2	1	0	0	3	3	3	3.83E-01	1	9.40E-01	7.50E-01	1				
C8orf58	chromosome 8 open reading frame 58	1122	209	0	0	1	0	0	0	1	1	1	7.50E-01	NaN	NaN	7.50E-01	1				
ABHD2	abhydrolase domain containing 2	1310	33	0	0	1	0	0	0	1	1	1	7.50E-01	NaN	NaN	7.50E-01	1				
HIGD2B	"HIG1 hypoxia inducible domain family, member 2B"	321	0	0	2	2	0	0	0	2	2	2	7.50E-01	NaN	NaN	7.50E-01	1				
PER1	period homolog 1 (Drosophila)	4172	56	0	3	1	0	1	0	2	2	2	7.63E-01	1	5.02E-01	7.50E-01	1				
PPFIBP2	"PTPRF interacting protein, binding protein 2 (liprin beta 2)"	2816	19	0	1	2	0	1	0	3	3	3	3.83E-01	1	8.25E-01	7.51E-01	1				
FAM160B2	"family with sequence similarity 160, member B2"	2296	26	0	1	1	0	1	0	2	2	2	3.83E-01	1	8.00E-01	7.51E-01	1				
CRB1	crumbs homolog 1 (Drosophila)	4406	4	0	1	3	0	0	1	4	4	4	3.83E-01	1	8.92E-01	7.51E-01	1				
NLE1	notchless homolog 1 (Drosophila)	1506	177	0	1	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
MYBPC3	"myosin binding protein C, cardiac"	3960	0	0	3	3	0	0	0	3	3	3	9.26E-01	1	3.29E-01	7.51E-01	1				
ASB6	ankyrin repeat and SOCS box-containing 6	1286	46	0	1	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	920	3	0	1	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
OSMR	oncostatin M receptor	3040	21	0	2	3	0	1	0	4	3	4	6.77E-01	1	3.64E-01	7.51E-01	1				
ZNF648	zinc finger protein 648	1707	16	0	1	4	1	0	0	5	5	5	3.83E-01	1	7.38E-01	7.51E-01	1				
EMC10	ER membrane protein complex subunit 10	1237	197	0	0	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
ZNF76	zinc finger protein 76 (expressed in testis)	1761	8	0	0	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
IFI44L	interferon-induced protein 44-like	1387	22	0	0	2	0	0	0	2	2	2	6.79E-01	1	5.10E-01	7.51E-01	1				
RRP1	ribosomal RNA processing 1 homolog (S. cerevisiae)	1434	56	0	0	2	0	0	0	2	2	2	3.84E-01	1	3.57E-01	7.51E-01	1				
KCTD14	potassium channel tetramerisation domain containing 14	772	3	0	2	1	0	0	0	1	1	1	7.51E-01	NaN	NaN	7.51E-01	1				
IL13RA1	"interleukin 13 receptor, alpha 1"	1742	248	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
POLE	"polymerase (DNA directed), epsilon"	7053	18	0	6	6	0	0	0	6	6	6	7.98E-01	1	4.16E-01	7.52E-01	1				
NVL	nuclear VCP-like	2830	70	0	1	4	0	0	0	4	4	4	3.84E-01	1	7.75E-01	7.52E-01	1				
DENND2D	DENN/MADD domain containing 2D	1520	21	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
OR2W3	"olfactory receptor, family 2, subfamily W, member 3"	945	246	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
MSL1	male-specific lethal 1 homolog (Drosophila)	1886	12	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
CNGA4	cyclic nucleotide gated channel alpha 4	1850	4	0	0	3	0	0	0	3	3	3	3.84E-01	1	7.97E-01	7.52E-01	1				
UBE2Z	ubiquitin-conjugating enzyme E2Z	1089	302	0	0	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
PSG4	pregnancy specific beta-1-glycoprotein 4	1280	8	0	0	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
NAA30	"N(alpha)-acetyltransferase 30, NatC catalytic subunit"	1103	54	0	0	2	0	0	0	2	2	2	3.85E-01	1	9.74E-01	7.52E-01	1				
MFN2	mitofusin 2	2338	8	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
ACTN4	"actinin, alpha 4"	2825	10	0	1	2	0	0	0	2	2	2	3.85E-01	1	8.80E-01	7.52E-01	1				
TAS2R20	"taste receptor, type 2, member 20"	930	22	0	1	2	0	0	0	2	2	2	3.85E-01	1	6.63E-01	7.52E-01	1				
EDN3	endothelin 3	772	115	0	1	2	0	0	0	2	2	2	4.56E-01	1	4.19E-01	7.52E-01	1				
TBCD	tubulin folding cofactor D	3962	68	0	2	2	0	0	0	2	2	2	9.89E-01	1	3.30E-01	7.52E-01	1				
SERPINH1	"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"	1288	5	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
GRAMD1A	GRAM domain containing 1A	2613	2	0	1	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
UBBP4	ubiquitin B pseudogene 4	863	379	0	0	1	0	0	0	1	1	1	7.52E-01	NaN	NaN	7.52E-01	1				
ZNF91	zinc finger protein 91	3706	3	0	3	9	1	0	0	10	9	10	3.85E-01	1	6.99E-01	7.52E-01	1				
MOXD1	"monooxygenase, DBH-like 1"	2030	0	0	3	1	0	0	1	2	2	2	9.04E-01	1	4.08E-01	7.52E-01	1				
GCOM1	myocardial zonula adherens protein	2578	58	0	1	2	0	0	0	2	2	2	6.10E-01	1	4.41E-01	7.53E-01	1				
ZNF260	zinc finger protein 260	1239	55	0	0	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
AKNAD1	AKNA domain containing 1	2846	82	0	1	0	1	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
EFTUD1	elongation factor Tu GTP binding domain containing 1	3435	1	0	0	2	1	0	0	3	3	3	3.85E-01	1	7.45E-01	7.53E-01	1				
HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	1108	24	0	1	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
WASF2	"WAS protein family, member 2"	1525	56	0	1	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
CDH9	"cadherin 9, type 2 (T1-cadherin)"	2410	80	0	4	10	0	0	0	10	7	10	9.71E-01	1	3.70E-01	7.53E-01	1				
C12orf55	chromosome 12 open reading frame 55	9555	10	0	0	3	0	0	0	3	3	3	3.86E-01	1	3.35E-01	7.53E-01	1				
XPO7	exportin 7	3422	1	0	5	3	1	0	0	4	4	4	9.14E-01	1	4.15E-01	7.53E-01	1				
ASRGL1	asparaginase like 1	1085	31	0	1	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
TERF2	telomeric repeat binding factor 2	1705	37	0	1	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
ODF3L2	outer dense fiber of sperm tails 3-like 2	882	1459	0	0	2	0	0	0	2	2	2	3.86E-01	1	9.19E-01	7.53E-01	1				
BTBD9	BTB (POZ) domain containing 9	1972	21	0	0	2	0	0	0	2	2	2	3.86E-01	1	6.67E-01	7.53E-01	1				
CKMT1B	"creatine kinase, mitochondrial 1B"	1373	15	0	0	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
FBF1	Fas (TNFRSF6) binding factor 1	3661	16	0	0	0	0	1	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
ASPHD2	aspartate beta-hydroxylase domain containing 2	1118	2	0	2	3	0	0	0	3	3	3	3.86E-01	1	4.58E-01	7.53E-01	1				
NAPB	"N-ethylmaleimide-sensitive factor attachment protein, beta"	937	193	0	0	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
OR2W1	"olfactory receptor, family 2, subfamily W, member 1"	963	31	0	0	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
KCNA1	"potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"	1488	41	0	2	1	0	0	0	1	1	1	7.53E-01	NaN	NaN	7.53E-01	1				
CLCN2	chloride channel 2	2789	8	0	2	2	0	0	1	3	3	3	3.86E-01	1	7.12E-01	7.53E-01	1				
RGL4	ral guanine nucleotide dissociation stimulator-like 4	1462	32	0	1	2	0	0	0	2	2	2	3.86E-01	1	5.73E-01	7.53E-01	1				
IL2RA	"interleukin 2 receptor, alpha"	847	4	0	2	1	0	0	0	1	1	1	7.54E-01	NaN	NaN	7.54E-01	1				
ZNF710	zinc finger protein 710	2007	85	0	1	1	0	0	0	1	1	1	7.54E-01	NaN	NaN	7.54E-01	1				
CRISP2	cysteine-rich secretory protein 2	756	36	0	1	1	0	0	0	1	1	1	7.54E-01	NaN	NaN	7.54E-01	1				
ZNF354B	zinc finger protein 354B	1851	20	0	0	2	0	0	0	2	1	2	7.54E-01	NaN	NaN	7.54E-01	1				
OSBPL2	oxysterol binding protein-like 2	1561	36	0	0	1	0	0	0	1	1	1	7.55E-01	NaN	NaN	7.55E-01	1				
ATAD3C	"ATPase family, AAA domain containing 3C"	1280	64	0	0	2	0	0	0	2	2	2	3.87E-01	1	6.22E-01	7.55E-01	1				
CASP2	"caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)"	1442	61	0	0	1	0	0	0	1	1	1	7.55E-01	NaN	NaN	7.55E-01	1				
BBS4	Bardet-Biedl syndrome 4	1712	26	0	0	1	1	0	0	2	2	2	3.87E-01	1	3.29E-01	7.55E-01	1				
OTUD6B	OTU domain containing 6B	1010	670	0	0	2	0	0	0	2	2	2	3.87E-01	1	8.59E-01	7.55E-01	1				
RRAS	related RAS viral (r-ras) oncogene homolog	677	13	0	1	1	0	0	0	1	1	1	7.55E-01	NaN	NaN	7.55E-01	1				
C12orf74	chromosome 12 open reading frame 74	590	0	0	1	2	0	0	0	2	2	2	3.88E-01	1	8.55E-01	7.55E-01	1				
ARMCX3	"armadillo repeat containing, X-linked 3"	1140	62	0	1	2	0	0	0	2	2	2	3.88E-01	1	6.88E-01	7.55E-01	1				
MS4A8	"membrane-spanning 4-domains, subfamily A, member 7"	775	135	0	0	2	0	0	0	2	2	2	3.88E-01	1	8.24E-01	7.55E-01	1				
TMC6	transmembrane channel-like 6	2531	6	0	0	2	0	0	0	2	2	2	3.88E-01	1	3.56E-01	7.55E-01	1				
RAB23	"RAB23, member RAS oncogene family"	734	0	0	1	2	0	0	0	2	2	2	3.88E-01	1	3.61E-01	7.55E-01	1				
MCM5	minichromosome maintenance complex component 5	2265	22	0	2	3	0	0	0	3	3	3	3.88E-01	1	7.18E-01	7.55E-01	1				
C15orf27	chromosome 15 open reading frame 27	1632	14	0	1	1	0	0	0	1	1	1	7.55E-01	NaN	NaN	7.55E-01	1				
SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	652	0	0	1	1	0	0	0	1	1	1	7.55E-01	NaN	NaN	7.55E-01	1				
ZNF286B	zinc finger protein 286B	1581	115	0	1	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
LARP1B	"La ribonucleoprotein domain family, member 1B"	3044	2	0	1	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
ODC1	ornithine decarboxylase 1	1422	2	0	2	3	0	0	0	3	3	3	3.88E-01	1	7.70E-01	7.56E-01	1				
ASCC1	activating signal cointegrator 1 complex subunit 1	1432	4	0	1	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
ZNF396	zinc finger protein 396	1182	3	0	2	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
OR6N1	"olfactory receptor, family 6, subfamily N, member 1"	939	4	0	2	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
FAM169B	"family with sequence similarity 169, member B"	595	250	0	0	1	0	1	0	2	2	2	3.89E-01	1	9.90E-01	7.56E-01	1				
SBK1	SH3-binding domain kinase 1	1283	14	0	1	2	0	0	0	2	2	2	3.89E-01	1	5.31E-01	7.56E-01	1				
BPIFB6	"BPI fold containing family B, member 6"	1418	9	0	2	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
ALG1	"asparagine-linked glycosylation 1 homolog (S. cerevisiae, beta-1,4-mannosyltransferase)"	1443	70	0	1	1	0	0	0	1	1	1	7.56E-01	NaN	NaN	7.56E-01	1				
TRPM1	"transient receptor potential cation channel, subfamily M, member 1"	5234	12	0	2	7	0	0	0	7	7	7	3.89E-01	1	4.44E-01	7.56E-01	1				
ASCL1	achaete-scute complex homolog 1 (Drosophila)	711	61	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
PSMD12	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	1411	12	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
SLC14A1	"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)"	1370	11	0	0	2	0	0	0	2	2	2	3.89E-01	1	5.38E-01	7.57E-01	1				
TPO	thyroid peroxidase	3027	32	0	3	7	0	1	0	8	7	8	5.67E-01	1	6.34E-01	7.57E-01	1				
DCT	"dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"	1695	11	0	0	2	0	0	0	2	2	2	8.21E-01	1	3.44E-01	7.57E-01	1				
SLC38A7	"solute carrier family 38, member 7"	1640	26	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
OR10G9	"olfactory receptor, family 10, subfamily G, member 9"	936	303	0	1	1	1	0	0	2	2	2	3.89E-01	1	8.91E-01	7.57E-01	1				
SNX20	sorting nexin 20	1098	264	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)	2194	11	0	0	3	0	0	0	3	3	3	3.90E-01	1	8.02E-01	7.57E-01	1				
OLIG3	oligodendrocyte transcription factor 3	819	17	0	1	2	0	0	0	2	2	2	3.90E-01	1	9.76E-01	7.57E-01	1				
FAM153B	"family with sequence similarity 153, member B"	1244	16	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
DNAI2	"dynein, axonemal, intermediate chain 2"	2033	14	0	0	4	0	0	0	4	4	4	3.90E-01	1	7.76E-01	7.57E-01	1				
ABCC3	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	4978	1	0	1	3	0	1	0	4	4	4	3.90E-01	1	6.23E-01	7.57E-01	1				
ZNF362	zinc finger protein 362	1291	207	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
TLE3	"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)"	2491	52	0	0	1	0	0	0	1	1	1	7.57E-01	NaN	NaN	7.57E-01	1				
FICD	FIC domain containing	1742	63	0	0	2	0	0	0	2	2	2	3.90E-01	1	6.94E-01	7.58E-01	1				
