cytoband	1p36.32	6p21.33	15q15.3	6q23.3	19p13.3	18q23	3p21.31	2q22.2	14q32.31	10q23.31	6q21	9p21.3	16q12.1	6q14.3	8q12.1	19p13.2	4q21.22	6q14.1	13q14.2	1p13.1	1p36.11	13q34	12p13.2	3q28	1q42.12	17q25.1	4q35.1	1p31.1	17p11.2	9q21.13	19q13.32	17q24.1	16p13.3	2p22.2	7q31.31	5p15.31	8p23.3	13q12.12	5q33.3	11q24.3	5q35.3	12q24.11	
																																								LOC100499227		HCAR2	
																																								MIR3920		LOC338758	
																																								MIR3656		TMEM119	
																																								LOC100506233		LOC338799	
																																								LOC100506368		C12orf74	
																																								CASP12		EP400NL	
																																								LOC100507392		RILPL1	
																																								LOC100526771		PTPRQ	
																																								HSPB2-C11orf52		C12orf42	
																																								FXYD6-FXYD2		LRRC10	
																																								MIR4697		IL31	
																																								MIR4490		C12orf75	
																																								MIR4493		CCDC42B	
																																								MIR4491		TMEM233	
																																								MIR4492		SETD8	
																																								MIR4693		LOC387895	
																																								LOC100652768		MKRN9P	
																																										C12orf76	
																																										LOC400084	
																																										FLJ37505	
																																										MIR135A2	
																																										C12orf37	
																																										PLEKHG7	
																																										LOC440117	
																																										FLJ31485	
																																										NUDT4P1	
																																										MIR331	
																																										EID3	
																																										ATXN7L3B	
																																										CLLU1OS	
																																										CLLU1	
																																										MIR492	
																																										MAP1LC3B2	
																																										LOC643339	
																																										LOC643770	
																																										LOC647589	
																																										SNORA49	
																																										SNORA53	
																																										MIR617	
																																										MIR618	
																																										MIR620	
																																										LOC728084	
																																										C12orf73	
																																										LOC728739	
																																										MRS2P2	
																																										LOC100128191	
																																										LOC100128554	
																																										LOC100130238	
																																										LOC100131138	
																																										LOC100131733	
																																										LOC100190940	
																																										LINC00173	
																																										LOC100287944	
																																										ZNF605	
																																										MIR1252	
																																										MIR1279	
																																										MIR1827	
																																										MIR1178	
																																										MIR1251	
																																										SNORA70G	
																																										MIR4303	
																																										MIR4304	
																																										MIR3685	
																																										MIR3612	
																																										MIR3652	
																																										MIR3922	
																																										MIR3913-2	
																																										MIR3913-1	
																																										MIR3908	
																																										LOC100505978	
																																										LOC100506649	
																																										LOC100506668	
																																										LOC100507055	
																																										LOC100507066	
																																										LOC100507091	
																																										LOC100507206	
																																										LOC100507250	
																																										LOC100507377	
																																										POC1B-GALNT4	
																																										ZNF664-FAM101A	
																																										MIR4699	
																																										MIR4498	
																																										MIR548AL	
																																										MIR4472-2	
																																										MIR4700	
																																										MIR4497	
